Time (s),ECG (V),PPG_Red,PPG_IR
3.640000,1.083886,336.336957,258.595344
3.648000,1.019332,340.492313,268.090760
3.656000,0.980659,337.962922,261.638054
3.664000,0.932268,336.823364,267.126163
3.672000,1.135500,339.084563,260.994268
3.680000,0.922550,336.341944,264.635252
3.688000,0.961273,336.850847,266.356997
3.696000,0.916104,342.444914,267.210475
3.704000,0.874159,340.612925,262.914948
3.712000,0.835486,344.300971,266.755474
3.720000,0.922550,335.013612,264.032940
3.728000,0.999995,338.163523,260.834198
3.736000,0.958050,339.614058,266.099011
3.744000,1.070945,337.904476,265.685341
3.752000,1.025777,337.089777,264.027102
3.760000,1.041941,338.905694,264.026984
3.768000,0.996773,340.312629,263.392779
3.776000,0.877432,341.893456,262.378604
3.784000,1.051609,336.983800,261.058160
3.792000,1.161282,340.853848,262.975866
3.800000,0.987105,340.644556,264.637740
3.808000,1.122559,342.083305,262.517420
3.816000,1.080613,341.381339,261.363535
3.824000,1.151614,340.995244,260.754688
3.832000,1.125782,340.300997,262.421783
3.840000,1.241950,338.382595,261.074095
3.848000,1.148391,340.266724,268.210099
3.856000,1.080613,342.954203,259.335801
3.864000,1.051609,343.378845,256.180517
3.872000,0.935491,340.651346,264.430802
3.880000,0.916104,338.318830,260.850948
3.888000,0.996773,345.152369,258.666673
3.896000,1.048386,343.173311,261.949528
3.904000,0.909659,338.922480,262.824185
3.912000,0.954827,344.055136,260.750333
3.920000,0.951604,345.566603,260.736156
3.928000,0.967718,340.879674,258.828442
3.936000,0.912882,339.284986,259.417004
3.944000,0.887100,341.859296,263.927780
3.952000,1.438686,343.718723,256.258491
3.960000,1.903209,337.016876,260.321754
3.968000,2.258059,335.667295,260.471880
3.976000,1.590304,334.893587,266.378247
3.984000,0.958050,345.456459,261.559056
3.992000,0.735482,337.261292,264.164496
4.000000,0.838709,333.929908,256.737698
4.008000,0.709650,337.483409,260.732600
4.016000,0.825818,332.272670,262.672766
4.024000,0.870936,339.009329,259.348001
4.032000,0.764486,339.583370,261.994480
4.040000,0.812877,335.670658,255.979158
4.048000,0.948382,338.344835,257.940148
4.056000,0.877432,337.173737,263.961613
4.064000,0.929046,336.649156,256.587394
4.072000,0.961273,333.059725,256.024208
4.080000,0.958050,336.374162,261.818735
4.088000,1.125782,335.971614,261.382651
4.096000,0.961273,336.214568,259.244185
4.104000,1.174173,332.695594,261.926552
4.112000,1.119336,335.482336,262.742645
4.120000,1.193559,335.427514,258.681245
4.128000,1.235454,334.457057,255.125489
4.136000,1.161282,337.050079,262.874118
4.144000,1.187114,338.676144,257.014425
4.152000,1.158059,332.261028,258.412219
4.160000,1.280623,338.460839,264.157369
4.168000,1.064500,334.535176,262.960455
4.176000,1.109668,335.076943,262.444195
4.184000,1.061277,339.529690,261.556560
4.192000,1.054832,338.386617,259.211495
4.200000,0.996773,338.996091,260.988462
4.208000,0.954827,341.853574,266.657417
4.216000,1.100000,332.126435,267.837180
4.224000,0.999995,338.061933,265.016482
4.232000,0.893545,336.338175,263.045568
4.240000,0.896768,337.828816,265.334618
4.248000,0.938714,340.040826,261.428608
4.256000,1.032273,337.560402,265.396423
4.264000,0.954827,329.569949,263.755903
4.272000,0.922550,331.152911,260.384819
4.280000,0.951604,336.262975,263.869380
4.288000,0.964495,340.955755,255.903084
4.296000,1.035496,338.231979,264.075942
4.304000,0.909659,336.917919,253.548939
4.312000,0.958050,334.299437,262.037770
4.320000,1.012886,339.602972,267.409471
4.328000,0.983882,338.782182,260.708478
4.336000,0.874159,335.933760,260.667249
4.344000,0.945159,338.928835,263.335416
4.352000,0.974163,342.350983,266.191632
4.360000,0.958050,337.040009,259.282340
4.368000,0.890323,338.761303,262.691040
4.376000,0.980659,337.196072,265.132246
4.384000,0.996773,337.988038,264.180758
4.392000,0.922550,336.085351,263.993365
4.400000,0.848377,335.903454,270.567925
4.408000,1.067723,338.014038,268.667963
4.416000,0.903214,332.887872,262.212836
4.424000,0.896768,338.649222,265.112521
4.432000,0.970941,343.084627,261.270322
4.440000,0.964495,339.593844,266.389608
4.448000,0.999995,339.525284,263.993413
4.456000,1.077391,337.242494,262.694367
4.464000,1.100000,339.917293,266.354353
4.472000,0.983882,336.489060,262.917013
4.480000,1.048386,341.041409,266.038823
4.488000,1.032273,336.531809,266.655862
4.496000,0.877432,339.240372,263.433789
4.504000,1.012886,338.068522,265.825542
4.512000,1.006441,336.886551,267.152380
4.520000,0.945159,338.821276,263.392108
4.528000,0.896768,341.044267,262.356405
4.536000,0.961273,338.506899,262.060131
4.544000,1.019332,340.392358,259.906847
4.552000,0.880655,340.767636,262.685541
4.560000,0.974163,340.421870,270.250739
4.568000,0.925772,340.837021,262.296458
4.576000,1.180618,341.177072,264.464940
4.584000,1.854818,337.985632,260.595276
4.592000,2.445177,335.693283,263.341453
4.600000,1.790314,336.099159,267.652722
4.608000,0.906436,340.336738,266.692173
4.616000,0.754818,339.926722,259.340753
4.624000,0.748373,339.275327,264.844905
4.632000,0.809654,346.416828,264.507798
4.640000,0.748373,332.502269,263.002426
4.648000,0.777427,339.683486,262.211351
4.656000,0.838709,340.564238,257.367773
4.664000,0.858045,339.591988,258.986665
4.672000,0.887100,343.375604,262.022160
4.680000,0.854823,344.638808,264.468170
4.688000,0.970941,336.052584,260.448336
4.696000,0.777427,342.667710,262.547388
4.704000,0.954827,340.270429,262.364001
4.712000,0.967718,341.363861,257.809164
4.720000,0.899991,338.963250,261.573681
4.728000,0.980659,333.511588,264.406664
4.736000,1.022554,338.135704,260.292171
4.744000,1.058054,338.176062,264.014317
4.752000,1.090332,340.459807,264.187082
4.760000,1.070945,340.657905,260.155893
4.768000,1.096777,333.962337,265.082719
4.776000,1.103223,336.738708,258.237271
4.784000,1.148391,333.063695,260.402118
4.792000,1.054832,332.882948,263.676884
4.800000,1.035496,337.175789,260.601601
4.808000,1.116114,337.683825,260.394153
4.816000,1.058054,335.191015,263.060329
4.824000,1.090332,333.445993,263.479477
4.832000,0.864491,333.633010,258.663538
4.840000,0.945159,337.068693,260.404407
4.848000,0.838709,337.526586,252.921752
4.856000,0.806432,337.661380,257.881922
4.864000,0.870936,336.547846,255.154940
4.872000,0.909659,331.616658,261.635480
4.880000,0.832264,338.332925,260.332142
4.888000,0.841932,339.354927,261.517342
4.896000,0.880655,338.467350,254.613020
4.904000,1.106445,331.175689,260.554917
4.912000,0.793541,335.221138,258.862721
4.920000,0.877432,335.159804,261.340002
4.928000,0.845154,335.094561,267.943734
4.936000,1.022554,337.792248,264.420443
4.944000,0.854823,341.886329,258.973826
4.952000,0.909659,340.249927,264.859857
4.960000,0.838709,327.097869,259.931120
4.968000,0.967718,337.850305,262.847401
4.976000,0.738705,334.176435,259.536103
4.984000,0.867713,337.520451,255.578106
4.992000,0.790318,337.926773,261.139753
5.000000,0.893545,333.388697,266.584905
5.008000,0.764486,337.434435,265.707398
5.016000,0.880655,332.683110,263.860227
5.024000,0.945159,332.419584,261.810705
5.032000,0.877432,337.746968,263.687291
5.040000,0.867713,335.538189,264.287542
5.048000,1.051609,339.615583,260.958136
5.056000,0.954827,333.532559,267.296352
5.064000,0.970941,336.813910,261.382391
5.072000,0.961273,331.850076,261.502478
5.080000,0.929046,336.640658,261.846141
5.088000,1.083886,343.082298,259.181010
5.096000,0.967718,336.570871,262.848741
5.104000,0.870936,335.867535,262.449385
5.112000,0.845154,334.612818,261.296054
5.120000,0.883877,335.717351,266.955956
5.128000,0.961273,338.501100,263.490323
5.136000,0.961273,334.445217,261.211125
5.144000,0.893545,338.940728,260.118397
5.152000,0.990327,338.582000,261.452487
5.160000,0.945159,333.019527,265.104235
5.168000,1.032273,337.973890,265.602540
5.176000,0.970941,337.474771,262.906819
5.184000,1.358068,338.661740,258.004677
5.192000,2.070991,339.842150,264.929162
5.200000,2.354841,334.497363,269.839570
